study_hours,attendance,assignments_score,exam_score,sleep_hours,final_result
3.1,33,55,53,6.4,0
3.5,46,88,60,7.8,1
11.3,72,95,81,3.5,1
4.3,94,31,40,3.3,1
3.3,52,83,41,4.0,1
8.2,67,92,56,4.6,1
8.0,34,73,54,8.3,1
4.6,49,20,94,6.4,1
10.7,91,21,81,8.9,1
3.9,79,79,87,7.3,1
10.6,78,39,89,7.2,1
9.1,36,44,52,6.7,1
7.1,38,81,65,7.1,1
7.1,74,45,46,8.7,1
5.4,97,30,82,5.6,1
9.8,34,21,86,9.9,1
3.5,98,100,33,8.2,1
2.4,75,57,21,5.0,1
7.1,79,71,83,5.8,1
4.7,76,30,22,6.2,1
7.7,77,65,86,8.3,1
9.8,64,82,61,9.8,1
1.9,84,56,26,8.9,1
7.1,40,61,83,8.6,1
8.7,99,44,58,6.3,1
5.0,90,20,81,7.6,1
4.3,37,48,50,5.4,1
3.3,44,62,42,4.7,0
8.7,75,67,79,7.5,1
6.7,87,29,87,5.0,1
1.8,94,23,75,5.4,1
10.4,74,24,72,7.4,1
7.4,98,78,70,8.3,1
9.5,32,83,84,4.3,1
7.5,48,50,96,9.3,1
11.2,41,57,58,6.9,1
9.0,33,42,69,3.5,1
11.3,89,36,88,4.4,1
8.6,82,46,40,4.0,1
1.3,98,21,88,8.0,1
6.9,73,88,61,6.7,1
8.3,30,32,23,3.6,0
3.1,82,20,38,5.3,1
7.6,36,98,39,9.5,1
1.3,47,66,51,7.1,1
10.8,56,32,90,5.3,1
2.5,45,52,40,5.5,1
2.4,47,88,32,5.3,1
8.0,47,35,67,5.5,1
8.1,43,21,73,3.5,1
2.9,85,84,66,6.0,1
9.5,38,96,48,8.2,1
2.3,43,28,99,8.9,1
2.4,97,51,48,6.3,1
1.5,87,52,63,8.9,1
1.4,64,35,63,3.8,1
9.2,96,34,32,4.8,1
6.3,65,29,60,7.3,1
10.6,47,99,28,4.9,1
1.4,92,44,42,6.6,1
10.4,98,92,35,3.1,1
10.1,89,69,81,9.0,1
9.1,72,84,49,5.8,1
4.9,99,65,32,3.8,1
8.1,62,44,46,5.1,1
2.2,65,38,60,4.6,1
10.0,80,83,27,9.3,1
8.5,60,33,97,6.6,1
7.3,37,87,59,6.2,1
6.0,98,74,62,4.2,1
10.3,71,100,68,8.6,1
3.7,70,28,73,7.9,1
10.7,90,44,71,9.0,1
5.0,38,97,94,9.2,1
2.6,84,22,42,5.5,1
9.6,75,38,54,9.5,1
9.1,69,63,87,8.8,1
2.8,98,64,21,6.5,1
1.7,51,76,82,4.7,1
6.3,92,37,62,8.4,1
1.5,78,48,30,5.0,0
10.5,74,84,56,3.5,1
6.3,63,53,24,7.4,1
9.1,33,82,88,4.3,1
3.5,35,37,93,5.9,1
10.0,58,69,74,9.7,1
8.3,99,49,53,3.5,1
1.7,41,40,32,4.4,0
5.2,88,69,57,4.4,1
5.6,48,80,52,3.7,1
11.1,37,45,40,6.8,1
3.8,97,89,90,8.2,1
3.7,48,84,70,9.5,1
4.7,65,99,21,9.2,1
6.0,93,46,86,7.9,1
2.6,70,20,28,5.6,0
6.1,58,69,46,6.0,1
2.5,81,62,31,3.3,0
5.5,48,59,23,9.9,1
4.3,43,23,68,6.9,1
9.7,37,22,91,8.5,1
4.8,45,60,76,7.4,1
4.6,79,41,87,7.3,1
11.1,83,90,73,9.4,1
3.8,84,98,43,3.0,1
7.2,100,64,76,9.7,1
4.6,56,53,23,8.2,1
7.9,97,52,56,9.9,1
8.4,78,39,45,6.5,1
5.9,72,76,92,8.1,1
3.0,53,27,69,3.3,1
2.4,79,34,54,7.8,0
9.5,30,53,100,9.3,1
4.0,90,71,89,4.6,1
8.0,47,38,98,6.9,1
8.0,63,33,89,4.9,1
8.0,52,66,69,3.4,1
10.9,31,33,91,9.9,1
2.0,96,44,36,7.3,1
9.2,36,47,97,7.5,1
6.3,44,97,79,8.3,1
10.3,42,98,78,5.6,1
9.2,97,80,47,5.1,1
4.5,34,85,89,9.6,1
3.1,69,41,53,9.2,1
9.7,71,51,99,7.6,1
1.5,67,46,92,4.9,1
2.4,93,54,69,9.4,1
5.4,99,58,44,6.9,1
